user,text,date,count
lossyrob,oh your saying that_„Žs the only one,4/1/15,1
notthatbreezy,"flips each individual tile, then re-arranges the keys",4/1/15,1
lossyrob,"right. anyhting that isn_„Žt real goes away, and is marked i guess with  a github issue for actually doing it",4/1/15,1
notthatbreezy,ok got it,4/1/15,1
lossyrob,"and you can mark it as 0.10 milestone, and I_„Žll go through and see what to try to get in for the release",4/1/15,1
moradology,i was just wondering about any of the operations in `geotrellis.raster.histogram` that use the entire raster. ,4/1/15,1
moradology,"so, ArrayHistogram.fromTile",4/1/15,1
moradology,for instance,4/1/15,1
moradology,i remembered having discussed this,4/1/15,1
moradology,but don't recall what the answer was that we came to at the code sprint,4/1/15,1
lossyrob,ArrayHistogram is something that is never used,4/1/15,1
lossyrob,we always just use FastMapHistogram,4/1/15,1
lossyrob,and I think that has an operation stats,4/1/15,1
lossyrob,but yeah those are stats operations,4/1/15,1
lossyrob,and how an ArrayHistogram is constructed from a tile makes sense to be owned by the ArrayHistogram object,4/1/15,1
lossyrob,"it might be useful to expose it as an op on tile, but again we just have `.histogram` and it creates a FastMapHistogram",4/1/15,1
moradology,mhmmm.,4/1/15,1
moradology,i'm going to mostly punt on the documentation there if it isn't important for usage,4/1/15,1
moradology,i'm only going so deep anyway.,4/1/15,1
lossyrob,Yeah that makes sense. target Histogram and FastMapHistogram,4/1/15,1
lossyrob,I was thinking the Defaults.scala wouldn_„Žt change Version.scala,4/1/15,1
lossyrob,because the versions that are hard coded and don_„Žt have things that can be changed in the environment aren_„Žt really defaults,4/1/15,1
notthatbreezy,"oh, true",4/1/15,1
notthatbreezy,sorry - thought the conversation gravitated towards a defaults.scala and appending Version to it,4/1/15,1
lossyrob,"```object Defaults {  def either(environmentVariable: String, default: String): String =    Properties.envOrElse(environmentVariable, default)  val geotrellisVersion   = ""0.10.0-SNAPSHOT""  lazy val hadoopVersion  = either(""SPARK_HADOOP_VERSION"", ""2.5.0"")  lazy val sparkVersion   = either(""SPARK_VERSION"", ""1.2.0"")  lazy val javaGdalDir    = either(""JAVA_GDAL_DIR"", ""/usr/local/lib"")}```",4/1/15,1
lossyrob,and then in version,4/1/15,1
echeipesh,why are those versions lazy ?,4/1/15,1
echeipesh,\\\,4/1/15,1
lossyrob,well_„_also the Defaults doesn_„Žt encapsulate that it_„Žs actually pulling from the env too,4/1/15,1
echeipesh,"```object Sweet { def apply() = ???}```",4/1/15,1
lossyrob,"so I would say, `object Environment`",4/1/15,1
notthatbreezy,"that makes sense too -- I don't really have a preference, other than making it clear for users what can be set from the environment",4/1/15,1
lossyrob,or `EnvOrDefault` ?,4/1/15,1
lossyrob,I hate names,4/1/15,1
echeipesh,+1 Environment,4/1/15,1
lossyrob,So then version would look like,4/1/15,1
lossyrob,"```object Version {  val geotrellis  = ""0.10.0-SNAPSHOT""  val scala       = ""2.10.4""  val geotools    = ""11.0""  val akka        = ""2.2.4""  val spray       = ""1.2.1""  val jackson     = ""1.6.1""  lazy val hadoop      = Environment.hadoopVersion  lazy val spark       = Environment.sparkVersion}```",4/1/15,1
lossyrob,(and loses the `either` function),4/1/15,1
lossyrob,oooohh i can edit eh,4/1/15,1
notthatbreezy,"cool, updated the PR",4/1/15,1
lossyrob,gratsi,4/1/15,1
hectcastro,Oh damn. Yet another scrollback!,4/1/15,1
lossyrob,"I_„Žm playing chat client bingo_„_I have Kato, Slack, IRC and Gitter on separate desktops",4/1/15,1
lossyrob,I guess I could fullscreen a google chat and make it 5,4/1/15,1
hectcastro,GitHub integration is nice though.,4/1/15,1
lossyrob,@kyeah did you get a successful ingest of that spatial raster into Cassandra?,4/2/15,1
pomadchin,"Hi guyz! Hm, mb it is question more about spark ): I'm trying to run gt-admin server (compiled it (fixed it up to new geotrellis) and it seems to run successfully), but cant it ping by 0.0.0.0:4444 (fixed port in sources) how is it possible to find logs I wonder? ._.' in console it seems to be everything ok. ",4/2/15,1
lossyrob,"hey @pomadchin, can you link to where it is in the sources that that port is fixed?",4/2/15,1
lossyrob,"There_„Žs a team from UT Austin working on gt-admin right now, and it_„Žs in early/active development",4/2/15,1
lossyrob,and can_„Žt remember where that port is used,4/2/15,1
pomadchin,"It is here (spary start server, just changed to my own (hadoop using it)): https://github.com/geotrellis/gt-admin/blob/master/server/src/main/scala/geotrellis/admin/server/CatalogService.scala#L279-L281It is called from ui here: https://github.com/geotrellis/gt-admin/blob/master/viewer/src/scripts/components/RasterViewer.jsx#L20Btw, dont clearly understand how is it possible to run server via spark submit :D Before just worked with hadoop & scalding (so it was a simple writing jobs): https://github.com/geotrellis/gt-admin/blob/master/run-server.sh little bit embarrasing ): ",4/2/15,1
pomadchin,here is a fork (to make it compilable with geotrellis master branch): https://github.com/pomadchin/gt-admin,4/2/15,1
lossyrob,are you able to hit localhost:4444/catalog/,4/2/15,1
lossyrob,?,4/2/15,1
lossyrob,"you run the server via the spark submit so that it runs it with the spark context. And it_„Žs a forever-lasting spark job (until you ctrl-c out of it), which listens on the port",4/2/15,1
pomadchin,"No, cant access 4444 port at all ): (tryed other ports).Btw console output: https://gist.github.com/pomadchin/f1946fd8f13d5da34dbaAnd no warns about not working smth. ):Hm, didn't know that it is possible to run server in a such interesting way (yes, I guessed that it is listening cause why job not stopping).",4/2/15,1
lossyrob,"hm looks like it_„Žs stalling, let me see what would come next in the log output",4/2/15,1
lossyrob,the last line should say that it_„Žs listening on the port,4/2/15,1
pomadchin,"Much thanks! Look it tomorrow (~11p.m. now) Is it possible to find spark logs wile stalling? (mb here some errors) ?",4/2/15,1
lossyrob,here_„Žs the last bit of my output:,4/2/15,1
lossyrob,"```INFO  ZooKeeper - Client environment:user.home=/Users/robINFO  ZooKeeper - Client environment:user.dir=/Users/rob/proj/gt/gt-adminINFO  ZooKeeper - Initiating client connection, connectString=localhost sessionTimeout=30000 watcher=org.apache.accumulo.fate.zookeeper.ZooSession$ZooWatcher@57faec51INFO  ClientCnxn - Opening socket connection to server fe80:0:0:0:0:0:0:1%1/fe80:0:0:0:0:0:0:1%1:2181. Will not attempt to authenticate using SASL (unknown error)INFO  ClientCnxn - Socket connection established to fe80:0:0:0:0:0:0:1%1/fe80:0:0:0:0:0:0:1%1:2181, initiating sessionINFO  ClientCnxn - Session establishment complete on server fe80:0:0:0:0:0:0:1%1/fe80:0:0:0:0:0:0:1%1:2181, sessionid = 0x14c7bc5caa40006, negotiated timeout = 30000[INFO] [04/02/2015 16:16:38.567] [spray-system-akka.actor.default-dispatcher-4] [akka://spray-system/user/IO-HTTP/listener-0] Bound to /0.0.0.0:8088```",4/2/15,1
lossyrob,So it_„Žs really just not outputting the spray start log,4/2/15,1
lossyrob,interesting...,4/2/15,1
lossyrob,Ok! thanks for chatting. I_„Žll be on tomorrow and we can keep looking at it then if you_„Žre on.,4/2/15,1
lossyrob,@echeipesh got what I was talking about working with the Accumulo side of things. Check it out: https://github.com/geotrellis/geotrellis/pull/1051,4/3/15,1
pomadchin,"@lossyrob mb smth with my accumulo / zookeeper configuration :\ no ideas thoughtried to install it again (clean) but nothing; mb some special cfgs needed?",4/3/15,1
pomadchin,"find out that is it clearly smth wrong with my accumulo / zookeper; sry for it; my mind is blowing with this new stack for me, very interesting. :D trying to fix it",4/3/15,1
pomadchin,* trying on master branch of geotrellis & my gt-admin fixed up to it (to make it compilable).,4/3/15,1
pomadchin,"Hm, problems here and with a simple ingest job, btw in accumulo logs connection persists:```2015-04-03 17:11:23,353 [Audit   ] INFO : operation: permitted; user: root; client: 127.0.0.1:37597; ```",4/3/15,1
pomadchin,mb here is a version issue? accumulo 1.6 is ok?,4/3/15,1
lossyrob,Hmmm perhaps it is that issue,4/3/15,1
lossyrob,I believe gt-admin uses 1.5,4/3/15,1
lossyrob,"@kyeah the change in PR #1051 will be of interest of you too, once it gets merged in and we fit the Cassandra stuff to it. Feel free to give feedback or input.",4/3/15,1
kyeah,"Yep, saw that; I'll look over the changes.",4/3/15,1
lossyrob,nice,4/3/15,1
lossyrob,how long did that Cassandra ingest of the one-month tiles take?,4/3/15,1
kyeah,"Not long at all; turns out I just didn't close the cassandra session afterwards, so it hung after ingesting.",4/3/15,1
lossyrob,oh gotcha,4/3/15,1
lossyrob,did you get to see it through the viewer?,4/3/15,1
kyeah,"Yep; I don't have accumulo setup to compare speeds, but the tiles seemed to load near-instantly for the most part.",4/3/15,1
lossyrob,That_„Žs a big deal,4/3/15,1
lossyrob,[Celebration gif],4/3/15,1
lossyrob,very exciting,4/3/15,1
lossyrob,do you have a branch of the gt-admin tool that I could checkout and use to see it?,4/3/15,1
kyeah,https://github.com/kyeah/gt-admin,4/3/15,1
lossyrob,I immediately regretted putting a gif there haha. Only so much I can watch a loop.,4/3/15,1
lossyrob,it_„Žs just on master?,4/3/15,1
kyeah,haha,4/3/15,1
kyeah,yeah,4/3/15,1
lossyrob,ok awesome. Hopefully I find some time over the weekend to play around with that.,4/3/15,1
lossyrob,Should the cassandra stuff also be able to handle SpaceTimeKey rasters?,4/3/15,1
lossyrob,You could use the NexIngest.scala as a template to build an ingest around reading up the temporal raster set that I gave the viewer team,4/3/15,1
kyeah,"I just got the SpaceTime driver working with the viewer last night, so I'll push that up to my geotrellis / gt-admin repos",4/3/15,1
kyeah,I'll look into Nexingest and get that temporal set from the team,4/3/15,1
lossyrob,wooot,4/3/15,1
lossyrob,at this pace Cassandra support might make it into the 0.10 release,4/3/15,1
notthatbreezy,"Chiming in here because I haven't done it before, but when you're talking about the one month tiles, what/where are they?",4/3/15,1
lossyrob,"it was a set of NEX data that I clipped down to one month (so it didn_„Žt need a time component, just a SpatialKey) that I gave to the UT Austin students to work with",4/3/15,1
lossyrob,lemme see if I can rustle them up and share them,4/3/15,1
notthatbreezy,"ah got it, yeah that'd be cool to have something more manageable to play around with",4/3/15,1
lossyrob,Uploading now,4/3/15,1
notthatbreezy,Are you just putting them on S3?,4/3/15,1
lossyrob,https://drive.google.com/folderview?id=0B_qGBN8rOJmOfnliVjAyb0gwQzJFRlJCaEtLbTJHWDNDVWl6MnVIRlN6UlJzVC1KX2NnaHc&usp=sharing,4/3/15,1
notthatbreezy,oh nice,4/3/15,1
notthatbreezy,thanks,4/3/15,1
lossyrob,"no problem, let me know if you have trouble working with them",4/3/15,1
lossyrob,but you should be able to ingest those through the current gt-admin,4/3/15,1
lossyrob,although I_„Žm not sure if there_„Žs issues with using geotrellis master,4/3/15,1
lossyrob,it might need some updating since Eugene_„Žs change to how Ingest works,4/3/15,1
lossyrob,slight updates but updates nontheless,4/3/15,1
notthatbreezy,"got it, I'll play around with it and see if there are issues (probably over the weekend)",4/3/15,1
pomadchin,"@lossyrob tried 1.5.2 accumulo and ingesting works (with geotrellis master assembly) perfect; btw still got errors while spary starting (gt-admin) :D but, it seems to me I know where to look.Dat incompatibility ):",4/4/15,1
lossyrob,"@pomadchin yeah, there_„Žs problems with upgrading to 1.6_„_cloudera doesn_„Žt have a package for it, and so getting a standard install is tough. Is there a particular reason for you to use 1.6 instead of 1.5?",4/4/15,1
pomadchin,"@lossyrob nope, the only reason I used 1.6.x that I'm new to it, and didn't know what to use",4/4/15,1
lossyrob,"We have a PR to support 1.6, but are also worried about deployment support for 1.6",4/4/15,1
lossyrob,so it_„Žs an ongoing debate. We_„Žll see!,4/4/15,1
lossyrob,Strange about the spray not working. I wonder if you can get another spray project to run?,4/4/15,1
lossyrob,Here_„Žs one to try https://github.com/geotrellis/geotrellis-chatta-demo,4/4/15,1
DarkManiel,"Has anyone else had trouble accessing localhost:8088/vector? My server is running, but I keep getting an access error:",4/6/15,1
DarkManiel,"GET http://localhost:8088/vector/ localhost/:1 XMLHttpRequest cannot load http://localhost:8088/vector/. No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin 'http://localhost:8000' is therefore not allowed access. The response had HTTP status code 500.",4/6/15,1
DarkManiel,* for gt-admin,4/6/15,1
lossyrob,Hmm_„_that was one of the routes that was to be deleted,4/6/15,1
DarkManiel,"ok, thanks",4/6/15,1
lossyrob,but the Access Control error shouldnt happen since we set the CORS headers,4/6/15,1
lossyrob,so that_„Žs interseting,4/6/15,1
DarkManiel,yeah,4/6/15,1
lossyrob,what browser?,4/6/15,1
DarkManiel,it was in chrome. ,4/6/15,1
DarkManiel,deleted now though,4/6/15,1
pomadchin,"yep, about spary not working in gt-admin, think that some versions mismathes (dunno where): ```Exception in thread ""main"" java.lang.NoSuchMethodError: akka.actor.ActorSystem.dispatcher()Lscala/concurrent/ExecutionContext;```",4/6/15,1
st028,"Hey @lossyrob, just made the fix that you suggested on #1044, tests are still failing unfortunately",4/6/15,1
lossyrob,@st028 the tests that were failing because of the varying resolution are still failing after the extent reprojection fix? ,4/6/15,1
pomadchin,"//offtop// Is it possible to get out already ingested tiff, and save it somewhere else (out of hdfs)? (I loaded it, and the to get it out? noticed png render functions) In other words got misunderstand a little what exactly stores accumulo, only metadata or the whole image data?",4/6/15,1
st028,@lossyrob Yep,4/6/15,1
lossyrob,"@st028 ok, something to debugged then. Is there a test around extent reprojection that maybe mimics what we were doing with the JTS builder that will help you debug?",4/6/15,1
lossyrob,"@pomadchin accumulo or hdfs stores all the image data (in a format that I specific to he back end, mainly a byte array) as well as metadata. You can load a layer out of one catalog and save it to another. Rendering PNGs happens at the Tile level (e.g. for returning PNGs from a TMS web request).",4/6/15,1
DarkManiel,"It looks like I'm missing some of the tiles. I get ""Error during processing of request HttpRequest(GET,http://localhost:8088/tms/nexmonth_gtadmin/3/3/4?breaks=278,280,282,283,284,285,286,288,289,291,293,300 ... Tile with key SpatialKey(3,4) not found for layer Layer(name = ""nexmonth_gtadmin"", zoom = 3)"" for some of the zoom levels of nexmonth in gt_admin. Has anyone else had this problem? It works okay for zoomlevels > 3. I was only able to ingest the one-month-tiles, so wondering if I need to ingest ccsm4-rcp85 for it to work properly.",4/6/15,1
lossyrob,"that might just be that that tile doesn_„Žt exist. Like, the TMS request doesn_„Žt know whether or not the tile (say it_„Žs requqesting china or something) doesn_„Žt exist in the layer. So the request goes through and you get that _„ƒerror_„Ž message",4/6/15,1
lossyrob,perhaps gt-admin shouldn_„Žt throw the error and just either report the tile doesn_„Žt exist and return a transparent PNG. maybe just log in for DEBUG level,4/6/15,1
lossyrob,"hey @Pshrub, so you got into the leader instance ok now?",4/6/15,1
lossyrob,Pasting in some chat I_„Žm having with @notthatbreezy about HDFS support:,4/6/15,1
lossyrob,"@lossyrobwe have this in master: https://github.com/geotrellis/geotrellis/blob/master/spark/src/main/scala/geotrellis/spark/io/hadoop/PreFilteredHadoopRDD.scalawhich is a hacked together thing that_„Žs basically a copy of Spark codethat is set to private in spark, which is annoying and makes it harder to extentso maybe there_„Žs a better way to do it? or maybe that_„Žs just what we do? or maybe we don_„Žt support filtering? The latter would be the way to do it if really there_„Žs no good way around it.",4/6/15,1
notthatbreezy,"ok yeah, that makes sense -- so this would something similar to how predicate push downs/filters work with like Cassandra, just directly on top of HDFS?",4/6/15,1
lossyrob,"this is RE: whether or not we can support filtering our RasterRDD_„Žs on load with the HDFS backend (geotrellis.spark.io.hadoop). We can do that in Accumulo, but that_„Žs because we index the tiles and Accumulo can handle the range queries",4/6/15,1
lossyrob,yeah_„_like how we do in Accumulo,4/6/15,1
lossyrob,"but the mechanism would necessarily have to be different_„_the main problem is, we don_„Žt want to load up a partition if the partition doesn_„Žt have any keys in our query",4/6/15,1
lossyrob,and we don_„Žt want to load any tiles with keys that don_„Žt match out query,4/6/15,1
lossyrob,the crux is here: https://github.com/apache/spark/blob/master/core/src/main/scala/org/apache/spark/rdd/NewHadoopRDD.scala#L157,4/6/15,1
lossyrob,"in order to read the key, we need to read the value as well. In NewHadoopRDD",4/6/15,1
echeipesh,In this context partition would be an HDFS block (which will have multiple key-tile pairs),4/6/15,1
lossyrob,our PreFilteredHadoopRDD is a version of that which doesn_„Žt necessarily load a partition or a value,4/6/15,1
notthatbreezy,"ok, yeah the use-case/need makes sense",4/6/15,1
echeipesh,Now that I know more about Hadoop I think it_„Žs likely we can push the filter down into InputFormat somehow. Maybe extend hadoop FileInputFormat.,4/6/15,1
lossyrob,hmmm truth,4/6/15,1
lossyrob,right. Ok I think that_„Žs a really good option,4/6/15,1
lossyrob,It_„Žs a Reader per map file right?,4/6/15,1
echeipesh,correct,4/6/15,1
lossyrob,"And the input format could get the splits, and check if the mapfile has any keys at all, or could contain tiles in the range?",4/6/15,1
echeipesh,"Yeah, that should happen at the point of creating splits. It should have the _„ñsplits_„ array available to it at that point.",4/6/15,1
echeipesh,"That_„Žs the part I haven_„Žt looked into yet though, but sounds like it slots into that part of API overall.",4/6/15,1
notthatbreezy,"ok, that makes sense too -- so I guess my task then is to check this out tomorrow?",4/6/15,1
lossyrob,"@notthatbreezy ok I think the support can happen, but it requires some deeper knowledge of InputFormat and RecordReaders",4/6/15,1
notthatbreezy,yeah - I can't really say I have either of those at the moment,4/6/15,1
lossyrob,so I_„Žm wondering if one of us should do it,4/6/15,1
echeipesh,I keep forgetting notthatbreezy is Chris ...,4/6/15,1
lossyrob,haha,4/6/15,1
notthatbreezy,"yeah, just not that chris brown",4/6/15,1
lossyrob,I think with one day it would be a tough task to  take on. perhaps next sprint? Unless one of us solves it before that,4/6/15,1
lossyrob,or you take on some extracarricular studies :),4/6/15,1
echeipesh,"It would be optimistic for it to be a day TBH, FileInputFormat is a work-horse so there is a lot around it.",4/6/15,1
lossyrob,yeah. Hopefully extensible,4/6/15,1
lossyrob,seems like somethign someone should have done at some point,4/6/15,1
